"order","contestant","song","result"
"1","Chris Richardson","""Change the World"" (Eric Clapton)","Safe"
"2","Melinda Doolittle","""There Will Come a Day"" (Faith Hill)","Safe"
"3","Blake Lewis","""Imagine"" (John Lennon)","Safe"
"4","Lakisha Jones","""I Believe"" (Fantasia)","Safe"
"5","Phil Stacey","""The Change"" (Garth Brooks)","Safe"
"6","Jordin Sparks","""You'll Never Walk Alone"" (Carousel)","Safe"
