contestant,song,result
Phil Stacey,"""Missing You"" (John Waite)",Safe
Jared Cotter,"""Let's Get It On"" (Marvin Gaye)",Safe
AJ Tabaldo,"""Feeling Good"" (Cy Grant)",Eliminated
Sanjaya Malakar,"""Steppin' Out with My Baby"" (Tony Bennett)",Safe
Chris Sligh,"""Trouble"" (Ray LaMontagne)",Safe
Nick Pedro,"""Fever"" (Little Willie John)",Eliminated
Blake Lewis,"""Virtual Insanity"" (Jamiroquai)",Safe
Brandon Rogers,"""Time After Time"" (Cyndi Lauper)",Safe
Chris Richardson,"""Geek in the Pink"" (Jason Mraz)",Safe
Sundance Head,"""Mustang Sally"" (Mack Rice)",Safe
NA,NA,NA
NA,NA,NA
