"order","contestant","song","result"
"1","Melinda Doolittle","""Sway"" (Dean Martin)","Safe"
"2","Lakisha Jones","""Conga"" (Gloria Estefan)","Safe"
"3","Chris Richardson","""Smooth"" (Santana)","Bottom three"
"4","Haley Scarnato","""Turn the Beat Around"" (Vicki Sue Robinson)","Eliminated"
"5","Phil Stacey","""Maria Maria"" (Santana)","Bottom two"
"6","Jordin Sparks","""Rhythm Is Gonna Get You"" (Gloria Estefan)","Safe"
"7","Blake Lewis","""I Need to Know"" (Marc Anthony)","Safe"
"8","Sanjaya Malakar","""Bésame Mucho"" (Andy Russell)","Safe"
