"order","contestant","song","song_theme","result"
"1","Melinda Doolittle","""Love You Inside Out""","Song","Safe"
"2","Blake Lewis","""You Should Be Dancing""","Song","Safe"
"3","Lakisha Jones","""Stayin' Alive""","Song","Eliminated"
"4","Jordin Sparks","""To Love Somebody""","Song","Safe"
"5","Melinda Doolittle","""How Can You Mend a Broken Heart?""","Song.1","Safe"
"6","Blake Lewis","""This Is Where I Came In""","Song.1","Safe"
"7","Lakisha Jones","""Run to Me""","Song.1","Eliminated"
"8","Jordin Sparks","""Woman in Love""","Song.1","Safe"
