"contestant_2","song_2","result_2"
"Rudy Cardenas","""Free Ride"" (Edgar Winter Group)","Eliminated"
"Brandon Rogers","""Rock with You"" (Michael Jackson)","Safe"
"Sundance Head","""Nights in White Satin"" (The Moody Blues)","Safe"
"Paul Kim","""Careless Whisper"" (Wham!)","Eliminated"
"Chris Richardson","""I Don't Want to Be"" (Gavin DeGraw)","Safe"
"Nick Pedro","""Now and Forever"" (Richard Marx)","Safe"
"Blake Lewis","""Somewhere Only We Know"" (Keane)","Safe"
"Sanjaya Malakar","""Knocks Me Off My Feet"" (Stevie Wonder)","Safe"
"Chris Sligh","""Typical"" (Mutemath)","Safe"
"Jared Cotter","""Back at One"" (Brian McKnight)","Safe"
"Aj Tabaldo","""Never Too Much"" (Luther Vandross)","Safe"
"Phil Stacey","""I Could Not Ask for More"" (Edwin McCain)","Safe"
