"order","contestant","song","result"
"1","Jordin Sparks","""Heartbreaker"" (Pat Benatar)","Advanced"
"2","Sabrina Sloan","""Don't Let Go (Love)"" (En Vogue)","Eliminated"
"3","Antonella Barba","""Put Your Records On"" (Corinne Bailey Rae)","Eliminated"
"4","Haley Scarnato","""If My Heart Had Wings"" (Faith Hill)","Advanced"
"5","Stephanie Edwards","""Sweet Thing"" (Chaka Khan)","Advanced"
"6","Lakisha Jones","""I Have Nothing"" (Whitney Houston)","Advanced"
"7","Gina Glocksen","""Call Me When You're Sober"" (Evanescence)","Advanced"
"8","Melinda Doolittle","""I'm a Woman"" (Peggy Lee)","Advanced"
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
