"order","contestant","song","result"
"1","Dexter Roberts","""Aw Naw""","Safe"
"2","Malaya Watson","""Runaway Baby""","Bottom three"
"3","Kristen O'Connor","""Beautiful Disaster""","Eliminated"
"4","Ben Briley","""Folsom Prison Blues""","Safe"
"5","C.J. Harris","""Radio""","Safe"
"6","MK Nobilette","""Satisfaction""","Bottom three"
"7","Majesty Rose","""Tightrope""","Safe"
"8","Jena Irene","""The Scientist""","Safe"
"9","Alex Preston","""A Beautiful Mess""","Safe"
"10","Jessica Meuse","""The Crow & the Butterfly""","Safe"
"11","Emily Piriz","""Glitter in the Air""","Safe"
"12","Sam Woolf","""Unwell""","Safe"
"13","Caleb Johnson","""Pressure and Time""","Safe"
