"order","contestant","song","song_theme","result"
"1","Caleb Johnson","""You Give Love a Bad Name""","Break.up.song","Safe"
"10","Jessica Meuse","""You and I""","Make.up.song","Eliminated"
"11","Jena Irene","""Can't Help Falling in Love""","Make.up.song","Safe"
"12","Alex Preston","""Yellow""","Make.up.song","Safe"
"2","Jessica Meuse","""Since U Been Gone""","Break.up.song","Eliminated"
"3","Alex Preston","""Too Close""","Break.up.song","Safe"
"4","Jena Irene","""Heartbreaker""","Break.up.song","Safe"
"5","Caleb Johnson","""Travelin Band""","Dedication.song","Safe"
"6","Jessica Meuse","""So What""","Dedication.song","Eliminated"
"7","Jena Irene","""Bad Romance""","Dedication.song","Safe"
"8","Alex Preston","""I'm Yours""","Dedication.song","Safe"
"9","Caleb Johnson","""Maybe I'm Amazed""","Make.up.song","Safe"
