"order","contestant","song","song_theme","result"
"1","Alex Preston","""Sweater Weather""","America.s.choice.1","Safe"
"10","Sam Woolf","""How to Save a Life""","Contestant.s.choice","Eliminated[a]"
"11","Jessica Meuse","""Summertime Sadness""","Contestant.s.choice","Safe"
"12","Caleb Johnson","""Still of the Night""","Contestant.s.choice","Safe"
"2","Caleb Johnson","""I Don't Want to Miss a Thing""","America.s.choice.1","Safe"
"3","Alex Preston","Sam Woolf and Jena Irene","Duet.trio.partner","Safe"
"3","Sam Woolf","Alex Preston and Jena Irene","Duet.trio.partner","Eliminated[a]"
"3","Jena Irene","Alex Preston and Sam Woolf","Duet.trio.partner","Safe"
"4","Jessica Meuse","""Human""","America.s.choice.1","Safe"
"5","Sam Woolf","""Sing""","America.s.choice.1","Eliminated[a]"
"6","Jena Irene","""My Body""","America.s.choice.1","Safe"
"7","Caleb Johnson","Jessica Meuse","Duet.trio.partner","Safe"
"7","Jessica Meuse","Caleb Johnson","Duet.trio.partner","Safe"
"8","Alex Preston","""Say Something""","Contestant.s.choice","Safe"
"9","Jena Irene","""Valerie""","Contestant.s.choice","Safe"
