"order","contestant","song","song_theme","result"
"1","Jena Irene","""I Love Rock 'n' Roll""","X1980s.Song","Safe"
"10","Dexter Roberts","""Islands in the Stream""","Duet.song","Safe"
"10","Jessica Meuse","""Islands in the Stream""","Duet.song","Safe"
"11","C.J. Harris","""Free Fallin'""","X1980s.Song","Bottom two"
"12","Caleb Johnson","""Faithfully""","X1980s.Song","Safe"
"2","Dexter Roberts","""Keep Your Hands to Yourself""","X1980s.Song","Safe"
"3","Sam Woolf","""The Girl Is Mine""","Duet.song","Safe"
"3","Alex Preston","""The Girl Is Mine""","Duet.song","Safe"
"4","Malaya Watson","""Through the Fire""","X1980s.Song","Eliminated"
"5","Jena Irene","""It's Only Love""","Duet.song","Safe"
"5","Caleb Johnson","""It's Only Love""","Duet.song","Safe"
"6","Jessica Meuse","""Call Me""","X1980s.Song","Safe"
"7","Sam Woolf","""Time After Time""","X1980s.Song","Safe"
"8","Malaya Watson","""I Knew You Were Waiting (For Me)""","Duet.song","Eliminated"
"8","C.J. Harris","""I Knew You Were Waiting (For Me)""","Duet.song","Bottom two"
"9","Alex Preston","""Every Breath You Take""","X1980s.Song","Safe"
