"order","contestant","song","song_theme","result"
"1","Jena Irene","""Barracuda""","Rock..n..Roll.Song","Safe"
"10","Jena Irene","""So Small""","Country.song","Safe"
"11","C.J. Harris","""Whatever It Is""","Country.song","Eliminated"
"12","Jessica Meuse","""Jolene""","Country.song","Bottom two"
"2","Sam Woolf","""It's Time""","Rock..n..Roll.Song","Safe"
"3","C.J. Harris","""American Woman""","Rock..n..Roll.Song","Eliminated"
"4","Alex Preston","""Animal""","Rock..n..Roll.Song","Safe"
"5","Caleb Johnson","""Sting Me""","Rock..n..Roll.Song","Safe"
"6","Jessica Meuse","""Somebody to Love""","Rock..n..Roll.Song","Bottom two"
"7","Sam Woolf","""You're Still the One""","Country.song","Safe"
"8","Caleb Johnson","""Undo It""","Country.song","Safe"
"9","Alex Preston","""Always on My Mind""","Country.song","Safe"
