"order","contestant","song","result"
"1","Alex Preston","""Don't Speak""","Safe"
"2","Majesty Rose","""Shake It Out""","Eliminated"
"3","Dexter Roberts","""Boondocks""","Safe"
"4","Malaya Watson","""The Long and Winding Road""","Safe"
"5","Sam Woolf","""Hey There Delilah""","Bottom three"
"6","Jessica Meuse","""Rhiannon""","Safe"
"7","C.J. Harris","""If It Hadn't Been for Love""","Bottom three"
"8","Caleb Johnson","""Dazed and Confused""","Safe"
"9","Jena Irene","""Bring Me to Life""","Safe"
