"order","contestant","song","song_theme","result"
"1","Caleb Johnson","""Never Tear Us Apart""","Randy.Jackson.s.Choice","Safe"
"2","Alex Preston","""Pompeii""","Randy.Jackson.s.Choice","Third place"
"3","Jena Irene","""Titanium""","Randy.Jackson.s.Choice","Safe"
"4","Caleb Johnson","""Demons""","Judges..Choice","Safe"
"5","Alex Preston","""Stay""","Judges..Choice","Third place"
"6","Jena Irene","""Heart Attack""","Judges..Choice","Safe"
"7","Caleb Johnson","""Dazed and Confused""","Hometown.s.Choice","Safe"
"8","Alex Preston","""Story of My Life""","Hometown.s.Choice","Third place"
"9","Jena Irene","""Creep""","Hometown.s.Choice","Safe"
