"order","contestant","song","song_theme","result"
"1","Caleb Johnson","""Family Tree""","Competitors..Choice","Safe"
"10","Jena Irene","""Creep""","Competitors..Choice","Safe"
"2","Jessica Meuse","""Gunpowder & Lead""","Competitors..Choice","Bottom two"
"3","Alex Preston","""The A Team""","Competitors..Choice","Safe"
"3","Sam Woolf","""Sail Away""","Competitors..Choice","Safe"
"4","C.J. Harris","""Gravity""","Competitors..Choice","Safe"
"5","Dexter Roberts","""Muckalee Creek Water""","Competitors..Choice","Eliminated"
"6","Caleb Johnson","""Family Tree""","Competitors..Choice","Safe"
"6","Jena Irene","""Creep""","Competitors..Choice","Safe"
"7","Alex Preston","""The A Team""","Competitors..Choice","Safe"
"8","Sam Woolf","""Sail Away""","Competitors..Choice","Safe"
"9","Jessica Meuse","""Gunpowder & Lead""","Competitors..Choice","Bottom two"
"9","C.J. Harris","""Gravity""","Competitors..Choice","Safe"
"9","Dexter Roberts","""Muckalee Creek Water""","Competitors..Choice","Eliminated"
