"order","contestant","song","result"
"1","Reed Grimm","""Moves Like Jagger""","Wild Card"
"2","Adam Brock","""Think""","Eliminated"
"3","DeAndre Brackensick","""Reasons""","Wild Card"
"4","Colton Dixon","""Decode""","Advanced"
"5","Jeremy Rosado","""Gravity""","Wild Card"
"6","Aaron Marcellus","""Never Can Say Goodbye""","Eliminated"
"7","Chase Likens","""Storm Warning""","Eliminated"
"8","Creighton Fraker","""True Colors""","Eliminated"
"9","Phillip Phillips","""In the Air Tonight""","Advanced"
"10","Eben Franckewitz","""Set Fire to the Rain""","Eliminated"
"11","Heejun Han","""Angels""","Advanced"
"12","Joshua Ledet","""You Pulled Me Through""","Advanced"
"13","Jermaine Jones","""Dance with My Father""","Advanced"
