"order","contestant","song","song_theme","result"
"1","Hollie Cavanagh","""River Deep – Mountain High""","X1960s.song","Bottom two"
"10","Skylar Laine","""You Don't Have to Say You Love Me""","Pop.song","Eliminated"
"11","Jessica Sanchez","""You Are So Beautiful""","Pop.song","Safe"
"12","Joshua Ledet","""To Love Somebody""","Pop.song","Safe"
"2","Phillip Phillips","""The Letter""","X1960s.song","Safe"
"3","Skylar Laine","""Fortunate Son""","X1960s.song","Eliminated"
"4","Phillip Phillips","Joshua Ledet","Duet.partner","Safe"
"4","Joshua Ledet","Phillip Phillips","Duet.partner","Safe"
"5","Jessica Sanchez","""Proud Mary""","X1960s.song","Safe"
"6","Joshua Ledet","""Ain't Too Proud to Beg""","X1960s.song","Safe"
"7","Hollie Cavanagh","""Bleeding Love""","Pop.song","Bottom two"
"8","Phillip Phillips","""Time of the Season""","Pop.song","Safe"
"9","Hollie Cavanagh","Skylar Laine and Jessica Sanchez","Duet.partner","Bottom two"
"9","Skylar Laine","Hollie Cavanagh and Jessica Sanchez","Duet.partner","Eliminated"
"9","Jessica Sanchez","Hollie Cavanagh and Skylar Laine","Duet.partner","Safe"
