"order","contestant","song","song_theme","result"
"1","Joshua Ledet","""I'd Rather Go Blind""","Judge.s.choice","Third place"
"2","Jessica Sanchez","""My All""","Judge.s.choice","Safe"
"3","Phillip Phillips","""Beggin'""","Judge.s.choice","Safe"
"4","Joshua Ledet","""Imagine""","Contestant.s.choice","Third place"
"5","Jessica Sanchez","""I Don't Want to Miss a Thing""","Contestant.s.choice","Safe"
"6","Phillip Phillips","""Disease""","Contestant.s.choice","Safe"
"7","Joshua Ledet","""No More Drama""","Mentor.s.choice","Third place"
"8","Jessica Sanchez","""I'll Be There""","Mentor.s.choice","Safe"
"9","Phillip Phillips","""We've Got Tonight""","Mentor.s.choice","Safe"
