"order","contestant","song","song_theme","result"
"1","DeAndre Brackensick","""I Like It""","X1980s.song","Eliminated"
"10","Joshua Ledet","""I Knew You Were Waiting (For Me)""","Duet.song","Safe"
"10","Jessica Sanchez","""I Knew You Were Waiting (For Me)""","Duet.song","Safe"
"11","Colton Dixon","""Time After Time""","X1980s.song","Safe"
"12","Skylar Laine","""Wind Beneath My Wings""","X1980s.song","Safe"
"2","Elise Testone","""I Want to Know What Love Is""","X1980s.song","Bottom three"
"3","Colton Dixon","""Islands in the Stream""","Duet.song","Safe"
"3","Skylar Laine","""Islands in the Stream""","Duet.song","Safe"
"4","Phillip Phillips","""That's All""","X1980s.song","Safe"
"5","DeAndre Brackensick","""I'm So Excited""","Duet.song","Eliminated"
"5","Hollie Cavanagh","""I'm So Excited""","Duet.song","Bottom three"
"6","Joshua Ledet","""If You Don't Know Me by Now""","X1980s.song","Safe"
"7","Jessica Sanchez","""How Will I Know""","X1980s.song","Safe"
"8","Elise Testone","""Stop Draggin' My Heart Around""","Duet.song","Bottom three"
"8","Phillip Phillips","""Stop Draggin' My Heart Around""","Duet.song","Safe"
"9","Hollie Cavanagh","""Flashdance... What a Feeling""","X1980s.song","Bottom three"
