"order","contestant","song","song_theme","result"
"1","Phillip Phillips","""Have You Ever Seen the Rain?""","Californian.song","Safe"
"10","Joshua Ledet","""It's a Man's Man's Man's World""","Wish.song","Safe"
"11","Jessica Sanchez","""And I Am Telling You I'm Not Going""","Wish.song","Safe"
"2","Hollie Cavanagh","""Faithfully""","Californian.song","Eliminated"
"3","Joshua Ledet","""You Raise Me Up""","Californian.song","Safe"
"4","Jessica Sanchez","""Steal Away""","Californian.song","Safe"
"5","Phillip Phillips","Joshua Ledet","Duet.partner","Safe"
"5","Joshua Ledet","Phillip Phillips","Duet.partner","Safe"
"6","Hollie Cavanagh","Jessica Sanchez","Duet.partner","Eliminated"
"6","Jessica Sanchez","Hollie Cavanagh","Duet.partner","Safe"
"8","Phillip Phillips","""Volcano""","Wish.song","Safe"
"9","Hollie Cavanagh","""I Can't Make You Love Me""","Wish.song","Eliminated"
