"order","contestant","song","result"
"1","Jen Hirsh","""Oh! Darling""","Eliminated"
"2","Jeremy Rosado","""I Know You Won't""","Wild Card"
"3","Brielle Von Hugel","""Someone Like You""","Eliminated"
"4","DeAndre Brackensick","""Georgia on My Mind""","Wild Card"
"5","Erika Van Pelt","""The Edge of Glory""","Wild Card"
"6","Reed Grimm","""Use Me""","Eliminated"
