"order","contestant","song","song_theme","result"
"1","Jessica Sanchez","""I Have Nothing""","Producer.s.choice","Runner-up"
"2","Phillip Phillips","""Stand by Me""","Producer.s.choice","Winner"
"3","Jessica Sanchez","""The Prayer""","Favorite.Performance","Runner-up"
"4","Phillip Phillips","""Movin' Out (Anthony's Song)""","Favorite.Performance","Winner"
"5","Jessica Sanchez","""Change Nothing""","Winner.s.Single","Runner-up"
"6","Phillip Phillips","""Home""","Winner.s.Single","Winner"
