"order","contestant","song","song_theme","result"
"1","Jessica Sanchez","""Bohemian Rhapsody""","Queen.song","Safe"
"10","Elise Testone","""Bold as Love""","Solo.song","Eliminated"
"11","Phillip Phillips","""The Stone""","Solo.song","Safe"
"12","Hollie Cavanagh","""The Climb""","Solo.song","Bottom two"
"2","Skylar Laine","""The Show Must Go On""","Queen.song","Bottom three"
"3","Joshua Ledet","""Crazy Little Thing Called Love""","Queen.song","Safe"
"4","Elise Testone","""I Want It All""","Queen.song","Eliminated"
"5","Phillip Phillips","""Fat Bottomed Girls""","Queen.song","Safe"
"6","Hollie Cavanagh","""Save Me""","Queen.song","Bottom two"
"7","Jessica Sanchez","""Dance with My Father""","Solo.song","Safe"
"8","Skylar Laine","""Tattoos on This Town""","Solo.song","Bottom three"
"9","Joshua Ledet","""Ready for Love""","Solo.song","Safe"
