"order","contestant","song","song_theme","result"
"1","Hollie Cavanagh","""Rolling in the Deep""","Now.song","Bottom three"
"10","Elise Testone","""Let's Get It On""","Then.song","Bottom three"
"11","Phillip Phillips","""In the Midnight Hour""","Then.song","Safe"
"12","Jessica Sanchez","""Try a Little Tenderness""","Then.song","Safe"
"13","Skylar Laine","""I Heard It Through the Grapevine""","Then.song","Safe"
"14","Joshua Ledet","""A Change Is Gonna Come""","Then.song","Safe"
"2","Colton Dixon","""Bad Romance""","Now.song","Eliminated"
"3","Elise Testone","""No One""","Now.song","Bottom three"
"4","Phillip Phillips","""U Got It Bad""","Now.song","Safe"
"5","Jessica Sanchez","""Fallin'""","Now.song","Safe"
"6","Skylar Laine","""Born This Way""","Now.song","Safe"
"7","Joshua Ledet","""I Believe""","Now.song","Safe"
"8","Hollie Cavanagh","""Son of a Preacher Man""","Then.song","Bottom three"
"9","Colton Dixon","""September""","Then.song","Eliminated"
