"order","contestant","song","result"
"1","DeAndre Brackensick","""Only the Good Die Young""","Bottom three"
"2","Erika Van Pelt","""New York State of Mind""","Eliminated"
"3","Joshua Ledet","""She's Got a Way""","Safe"
"4","Skylar Laine","""Shameless""","Safe"
"5","Elise Testone","""Vienna""","Safe"
"6","Phillip Phillips","""Movin' Out (Anthony's Song)""","Safe"
"7","Hollie Cavanagh","""Honesty""","Safe"
"8","Heejun Han","""My Life""","Bottom three"
"9","Jessica Sanchez","""Everybody Has a Dream""","Safe"
"10","Colton Dixon","""Piano Man""","Safe"
