"order","contestant","song","song_theme","result"
"1","Colton Dixon","""Everything""","Solo.song","Safe"
"10","Joshua Ledet","""Without You""","Solo.song","Safe"
"11","Skylar Laine","""Like a Prayer"" / ""Borderline"" / ""Express Yourself""","Duet.song","Bottom three"
"11","Hollie Cavanagh","""Like a Prayer"" / ""Borderline"" / ""Express Yourself""","Duet.song","Bottom three"
"11","Jessica Sanchez","""Like a Prayer"" / ""Borderline"" / ""Express Yourself""","Duet.song","Safe"
"12","Elise Testone","""Whole Lotta Love""","Solo.song","Safe"
"2","Skylar Laine","""Gunpowder & Lead""","Solo.song","Bottom three"
"3","Colton Dixon","""Landslide"" / ""Edge of Seventeen"" / ""Don't Stop""","Duet.song","Safe"
"3","Phillip Phillips","""Landslide"" / ""Edge of Seventeen"" / ""Don't Stop""","Duet.song","Safe"
"3","Elise Testone","""Landslide"" / ""Edge of Seventeen"" / ""Don't Stop""","Duet.song","Safe"
"4","Heejun Han","""A Song for You""","Solo.song","Eliminated"
"5","Hollie Cavanagh","""Jesus, Take the Wheel""","Solo.song","Bottom three"
"6","DeAndre Brackensick","""Sometimes I Cry""","Solo.song","Safe"
"7","Jessica Sanchez","""Sweet Dreams""","Solo.song","Safe"
"8","Heejun Han","""The Lady in My Life"" /""Rock with You"" / ""P.Y.T. (Pretty Young Thing)""","Duet.song","Eliminated"
"8","DeAndre Brackensick","""The Lady in My Life"" /""Rock with You"" / ""P.Y.T. (Pretty Young Thing)""","Duet.song","Safe"
"8","Joshua Ledet","""The Lady in My Life"" /""Rock with You"" / ""P.Y.T. (Pretty Young Thing)""","Duet.song","Safe"
"9","Phillip Phillips","""Still Rainin'""","Solo.song","Safe"
