"order","contestant","song","result"
"1","Joshua Ledet","""I Wish""","Bottom three (Males)"
"2","Elise Testone","""I'm Your Baby Tonight""","Top 13 save"
"3","Jermaine Jones","""Knocks Me Off My Feet""","Bottom two (Males)"
"4","Erika Van Pelt","""I Believe in You and Me""","Bottom three (Female)"
"5","Colton Dixon","""Lately""","Safe"
"6","Shannon Magrane","""I Have Nothing""","Bottom two (Female)"
"7","DeAndre Brackensick","""Master Blaster (Jammin')""","Safe"
"8","Skylar Laine","""Where Do Broken Hearts Go""","Safe"
"9","Heejun Han","""All in Love Is Fair""","Safe"
"10","Hollie Cavanagh","""All the Man That I Need""","Safe"
"11","Jeremy Rosado","""Ribbon in the Sky""","Eliminated"
"12","Jessica Sanchez","""I Will Always Love You""","Safe"
"13","Phillip Phillips","""Superstition""","Safe"
