"order","contestant","song","result"
"1","Kimberley Locke","""If You Asked Me To"" (Patti LaBelle)","Safe"
"2","Clay Aiken","""I Could Not Ask for More"" (Edwin McCain)","Safe"
"3","Trenyce","""Have You Ever?"" (Brandy)","Bottom Three"
"4","Joshua Gracin","""That's When I'll Stop Loving You"" (NSYNC)","Bottom Two"
"5","Carmen Rasmusen","""Love Will Lead You Back"" (Taylor Dayne)","Eliminated"
"6","Ruben Studdard","""Music of My Heart"" (Gloria Estefan and NSYNC)","Safe"
