"order","contestant","song","song_theme","result"
"1","Joshua Gracin","""Jive Talkin'""","First.song..original.artist.","Eliminated"
"2","Clay Aiken","""To Love Somebody""","First.song..original.artist.","Safe"
"3","Kimberley Locke","""I Just Want to Be Your Everything"" (Andy Gibb)","First.song..original.artist.","Bottom Two"
"4","Ruben Studdard","""Nights on Broadway""","First.song..original.artist.","Safe"
"5","Joshua Gracin","""To Love Somebody""","Second.song..original.artist.","Eliminated"
"6","Clay Aiken","""Grease"" (Frankie Valli)","Second.song..original.artist.","Safe"
"7","Kimberley Locke","""Emotion"" (Samantha Sang)","Second.song..original.artist.","Bottom Two"
"8","Ruben Studdard","""How Can You Mend a Broken Heart""","Second.song..original.artist.","Safe"
