"order","contestant","song","result"
"1","Clay Aiken","""Open Arms"" (Journey)","Wild Card (3rd)"
"2","Candice Coleman","""Piece of My Heart"" (Erma Franklin)","Eliminated"
"3","Rebecca Bond","""Caught Up in the Rapture"" (Anita Baker)","Eliminated"
"4","Jacob John Smalley","""Anytime"" (Brian McKnight)","Eliminated"
"5","Hadas","""You Light Up My Life"" (Kasey Cisyk)","Eliminated"
"6","Ruben Studdard","""Superstar"" (Delaney & Bonnie)","Advanced"
"7","Kimberley Locke","""Over the Rainbow"" (Judy Garland)","Advanced"
"8","Jennifer Fuentes","""I Wanna Dance with Somebody (Who Loves Me)"" (Whitney Houston)","Eliminated"
