"order","contestant","song","song_theme","result"
"1","Clark Beckham","""Georgia on My Mind""","Favorite.performance","Runner-up"
"2","Nick Fradiani","""Bright Lights""","Favorite.performance","Winner"
"3","Clark Beckham","""Ain't No Sunshine""","Simon.Fuller.s.Choice","Runner-up"
"4","Nick Fradiani","""I Won't Give Up""","Simon.Fuller.s.Choice","Winner"
"5","Clark Beckham","""Champion""","Winner.s.single","Runner-up"
"6","Nick Fradiani","""Beautiful Life""","Winner.s.single","Winner"
