"contestant_2","song_2","result_2"
"Lovey James","""Love Runs Out""","Eliminated"
"Adanna Duru","""Rather Be""","Advanced"
"Alexis Gomez","""Gunpowder & Lead""","Advanced"
"Joey Cook","""Somebody Like You""","Advanced"
"Katherine Winston","""Safe & Sound""","Eliminated"
"Shannon Berthiaume","""Who Knew""","Eliminated"
"Loren Lott","""Note to God""","Advanced"
"Shi Scott","""Umbrella""","Eliminated"
"Maddie Walker","""Love Gets Me Everytime""","Advanced"
"Sarina-Joi Crowe","""Mamma Knows Best""","Advanced"
"Jax","""Bang Bang (My Baby Shot Me Down)""","Advanced"
"Tyanna Jones","""Lips Are Movin""","Advanced"
