"order","contestant","song","song_theme","result"
"1","Tyanna Jones","""Why Do Fools Fall in Love""","Song.1","Safe"
"10","Quentin Alexander","""The Sound of Silence""","Song.2","Eliminated"
"11","Jax","""Beat It""","Song.2","Safe"
"12","Rayvon Owen","""Always on My Mind""","Song.2","Fan Save"
"2","Clark Beckham","""Superstition""","Song.1","Safe"
"3","Jax","""Piece of My Heart""","Song.1","Safe"
"4","Nick Fradiani","""American Girl""","Song.1","Safe"
"5","Quentin Alexander","""Are You Gonna Go My Way""","Song.1","Eliminated"
"6","Rayvon Owen","""Long Train Runnin'""","Song.1","Fan Save"
"7","Clark Beckham","""Moon River""","Song.2","Safe"
"8","Tyanna Jones","""Proud Mary""","Song.2","Safe"
"9","Nick Fradiani","""Only the Good Die Young""","Song.2","Safe"
