"order","contestant","song","result"
"1","Adam Ezegelian","""I Wanna Rock""","Advanced"
"2","Michael Simeon","""How Am I Supposed to Live Without You""","Eliminated"
"3","Savion Wright","""Hey, Soul Sister""","Eliminated"
"4","Mark Andrew","""The Weight""","Advanced"
"5","Trevor Douglas","""Best I Ever Had""","Eliminated"
"6","Clark Beckham","""When a Man Loves a Woman""","Advanced"
"7","Rayvon Owen","""Jealous""","Advanced"
"8","Daniel Seavey","""I'm Yours""","Advanced"
"9","Riley Bria","""Homeboy""","Eliminated"
"10","Quentin Alexander","""I Put a Spell on You""","Advanced"
"11","Nick Fradiani","""Thinking Out Loud""","Advanced"
"12","Qaasim Middleton","""Uptown Funk""","Advanced"
