"order","contestant","song","result"
"1","Daniel Seavey","""How Sweet It Is (To Be Loved By You)""","Advanced"
"2","Mark Andrew","""Papa Was a Rollin' Stone""","Eliminated"
"3","Rayvon Owen","""My Girl""","Advanced"
"4","Adam Ezegelian","""I Want You Back""","Eliminated"
"5","Clark Beckham","""The Tracks of My Tears""","Advanced"
"6","Nick Fradiani","""Signed, Sealed, Delivered I'm Yours""","Advanced"
"7","Qaasim Middleton","""I Wish""","Advanced"
"8","Quentin Alexander","""Master Blaster (Jammin')""","Wild Card"
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
