"order","contestant","song","song_theme","result"
"1","Clark Beckham","""Beautiful Day""","Scott.Borchetta.s.Choice","Safe"
"2","Nick Fradiani","""Because the Night""","Scott.Borchetta.s.Choice","Safe"
"3","Jax","""My Generation""","Scott.Borchetta.s.Choice","Third place"
"4","Nick Fradiani","""Back Home""","Hometown.Dedication","Safe"
"5","Clark Beckham","""(Sittin' On) the Dock of the Bay""","Hometown.Dedication","Safe"
"6","Jax","""My Immortal""","Hometown.Dedication","Third place"
"7","Clark Beckham","""Earned It""","Judges..Choice","Safe"
"8","Jax","""Misery Business""","Judges..Choice","Third place"
"9","Nick Fradiani","""I'll Be""","Judges..Choice","Safe"
