"order","contestant","song","result"
"1","Luke Menard","""Wake Me Up Before You Go-Go"" (Wham!)","Eliminated"
"2","David Archuleta","""Another Day in Paradise"" (Phil Collins)","Advanced"
"3","Danny Noriega","""Tainted Love"" (Gloria Jones)","Eliminated"
"4","David Hernandez","""It's All Coming Back to Me Now"" (Pandora's Box)","Advanced"
"5","Michael Johns","""Don't You (Forget About Me)"" (Simple Minds)","Advanced"
"6","David Cook","""Hello"" (Lionel Richie)","Advanced"
"7","Jason Castro","""Hallelujah"" (Leonard Cohen)","Advanced"
"8","Chikezie","""All the Man That I Need"" (Linda Clifford)","Advanced"
