"order","contestant","song","result"
"1","David Hernandez","""In the Midnight Hour"" (Wilson Pickett)","Safe"
"2","Chikezie","""More Today Than Yesterday""  (The Spiral Starecase)","Safe"
"3","David Cook","""Happy Together""   (The Turtles)","Safe"
"4","Jason Yeager","""Moon River"" (Andy Williams)","Safe"
"5","Robbie Carrico","""One""  (Harry Nilsson)","Safe"
"6","David Archuleta","""Shop Around"" (Smokey Robinson & the Miracles)","Safe"
"7","Danny Noriega","""Jailhouse Rock"" (Elvis Presley)","Safe"
"8","Luke Menard","""Everybody's Talkin'""  (Fred Neil)","Safe"
"9","Colton Berry","""Suspicious Minds"" (Mark James)","Eliminated"
"10","Garrett Haley","""Breaking Up Is Hard to Do"" (Neil Sedaka)","Eliminated"
"11","Jason Castro","""Daydream""  (The Lovin' Spoonful)","Safe"
"12","Michael Johns","""Light My Fire"" (The Doors)","Safe"
