"order","contestant","song","song_theme","result"
"1","David Cook","""I Still Haven't Found What I'm Looking For""","Clive.Davis.s.song","Winner"
"2","David Archuleta","""Don't Let the Sun Go Down on Me""","Clive.Davis.s.song","Runner-Up"
"3","David Cook","""Dream Big""","Winner.s.song","Winner"
"4","David Archuleta","""In This Moment""","Winner.s.song","Runner-Up"
"5","David Cook","""The World I Know""","Contestant.s.song","Winner"
"6","David Archuleta","""Imagine""","Contestant.s.song","Runner-Up"
