"order","contestant","song","result"
"1","Michael Johns","""Dream On""","Eliminated"
"2","Syesha Mercado","""I Believe""","Bottom three"
"3","Jason Castro","""Over the Rainbow""","Safe"
"4","Kristy Lee Cook","""Anyway""","Safe"
"5","David Cook","""Innocent""","Safe"
"6","Carly Smithson","""The Show Must Go On""","Bottom three"
"7","David Archuleta","""Angels""","Safe"
"8","Brooke White","""You've Got a Friend""","Safe"
