"contestant_2","song_original_artist_2","result_2"
"Asia'h Epperson","""I Wanna Dance with Somebody (Who Loves Me)""  (Whitney Houston)","Eliminated"
"Kady Malloy","""Who Wants to Live Forever"" (Queen)","Eliminated"
"Amanda Overmyer","""I Hate Myself for Loving You"" (Joan Jett)","Advanced"
"Carly Smithson","""I Drove All Night"" (Cyndi Lauper)","Advanced"
"Kristy Lee Cook","""Faithfully"" (Journey)","Advanced"
"Ramiele Malubay","""Against All Odds (Take a Look at Me Now)"" (Phil Collins)","Advanced"
"Brooke White","""Love Is a Battlefield"" (Pat Benatar)","Advanced"
"Syesha Mercado","""Saving All My Love for You"" (Whitney Houston)","Advanced"
