"order","contestant","song","result"
"1","Brooke White","""Jolene""","Bottom three"
"2","David Cook","""Little Sparrow""","Safe"
"3","Ramiele Malubay","""Do I Ever Cross Your Mind""","Eliminated"
"4","Jason Castro","""Travelin' Thru""","Safe"
"5","Carly Smithson","""Here You Come Again""","Safe"
"6","David Archuleta","""Smoky Mountain Memories""","Safe"
"7","Kristy Lee Cook","""Coat of Many Colors""","Bottom two"
"8","Syesha Mercado","""I Will Always Love You""","Safe"
"9","Michael Johns","""It's All Wrong, But It's All Right""","Safe"
