"order","contestant","song","song_theme","result"
"1","Jason Castro","""Forever in Blue Jeans""","Song.1","Safe"
"10","Syesha Mercado","""Thank the Lord for the Night Time""","Song.2","Safe"
"2","David Cook","""I'm Alive""","Song.1","Safe"
"3","Brooke White","""I'm a Believer""","Song.1","Eliminated"
"4","David Archuleta","""Sweet Caroline""","Song.1","Safe"
"5","Syesha Mercado","""Hello Again""","Song.1","Safe"
"6","Jason Castro","""September Morn""","Song.2","Safe"
"7","David Cook","""All I Really Need Is You""","Song.2","Safe"
"8","Brooke White","""I Am...I Said""","Song.2","Eliminated"
"9","David Archuleta","""America""","Song.2","Safe"
