"order","contestant","song","song_theme","result"
"1","David Cook","""Hungry Like the Wolf""","Song.1","Safe"
"2","Syesha Mercado","""Proud Mary""","Song.1","Safe"
"3","Jason Castro","""I Shot the Sheriff""","Song.1","Eliminated"
"4","David Archuleta","""Stand by Me""","Song.1","Safe"
"5","David Cook","""Baba O'Riley""","Song.2","Safe"
"6","Syesha Mercado","""A Change Is Gonna Come""","Song.2","Safe"
"7","Jason Castro","""Mr. Tambourine Man""","Song.2","Eliminated"
"8","David Archuleta","""Love Me Tender""","Song.2","Safe"
