"order","contestant","song","song_theme","result"
"1","David Archuleta","""And So It Goes""","Judge.s.choice","Safe"
"2","Syesha Mercado","""If I Ain't Got You""","Judge.s.choice","Third place"
"3","David Cook","""The First Time Ever I Saw Your Face""","Judge.s.choice","Safe"
"4","David Archuleta","""With You""","Contestant.s.choice","Safe"
"5","Syesha Mercado","""Fever""","Contestant.s.choice","Third place"
"6","David Cook","""Dare You to Move""","Contestant.s.choice","Safe"
"7","David Archuleta","""Longer""","Producer.s.choice","Safe"
"8","Syesha Mercado","""Hit Me Up","Producer.s.choice","Third place"
"9","David Cook","""I Don't Want to Miss a Thing""","Producer.s.choice","Safe"
