"order","contestant","song","result"
"1","David Archuleta","""When You Believe""","Safe"
"2","Carly Smithson","""Without You""","Safe"
"3","Syesha Mercado","""Vanishing""","Bottom three"
"4","Brooke White","""Hero""","Bottom two"
"5","Kristy Lee Cook","""Forever""","Eliminated"
"6","David Cook","""Always Be My Baby""","Safe"
"7","Jason Castro","""I Don't Wanna Cry""","Safe"
