"order","contestant","song","result"
"1","Tamyra Gray","""Minnie the Moocher""  (Cab Calloway and His Orchestra)","Safe"
"2","Justin Guarini","""Route 66""  (Nat King Cole)","Safe"
"3","Nikki McKibbin","""Hard-Hearted Hannah""  (Paul Whiteman and His Orchestra)","Bottom Three"
"4","Christina Christian","""The Glory of Love""  (Benny Goodman)","Eliminated"
"5","R. J. Helton","""I Won't Dance""  (Fred Astaire and Ginger Rogers)","Bottom Two"
"6","Kelly Clarkson","""Stuff Like That There""  (The King Sisters)","Safe"
