"order","contestant","song","result"
"1","R. J. Helton","""Under the Boardwalk""  (The Drifters)","Safe"
"2","Tamyra Gray","""A Fool in Love""  (Ike & Tina Turner)","Safe"
"3","Nikki McKibbin","""Piece of My Heart""  (Erma Franklin)","Safe"
"4","AJ Gil","""How Sweet It Is (To Be Loved by You)""  (Marvin Gaye)","Eliminated"
"5","Kelly Clarkson","""(You Make Me Feel Like) A Natural Woman""  (Aretha Franklin)","Safe"
"6","Christina Christian","""When a Man Loves a Woman""  (Percy Sledge)","Bottom Three"
"7","Justin Guarini","""Sunny""  (Bobby Hebb)","Safe"
"8","Ryan Starr","""You Really Got Me""  (The Kinks)","Bottom Two"
