"order","contestant","song","result"
"1","Ryan Starr","""If You Really Love Me""  (Stevie Wonder)","Safe"
"2","R. J. Helton","""I Can't Help Myself (Sugar Pie Honey Bunch)""  (The Four Tops)","Safe"
"3","Nikki McKibbin","""Ben""  (Michael Jackson)","Bottom Three"
"4","EJay Day","""My Girl""  (The Temptations)","Eliminated"
"5","Tamyra Gray","""Touch Me in the Morning""  (Diana Ross)","Safe"
"6","Justin Guarini","""For Once in My Life""  (Stevie Wonder)","Safe"
"7","Jim Verraros","""Easy""  (Commodores)","Eliminated"
"8","Kelly Clarkson","""You're All I Need to Get By""  (Marvin Gaye and Tammi Terrell)","Safe"
"9","AJ Gil","""My Cherie Amour""  (Stevie Wonder)","Safe"
"10","Christina Christian","""Ain't No Mountain High Enough""  (Marvin Gaye and Tammi Terrell)","Safe"
