"order","contestant","song","song_theme","result"
"1","Nikki McKibbin","""Edge of Seventeen""  (Stevie Nicks)","Contestant.s.choice...original.artist.","Third Place"
"2","Justin Guarini","""Let's Stay Together""  (Al Green)","Contestant.s.choice...original.artist.","Safe"
"3","Kelly Clarkson","""Think Twice""  (Celine Dion)","Contestant.s.choice...original.artist.","Safe"
"4","Nikki McKibbin","""Black Velvet""  (Alannah Myles)","Judge.s.choice...original.artist.","Third Place"
"5","Justin Guarini","""Don't Let the Sun Go Down on Me""  (Elton John)","Judge.s.choice...original.artist.","Safe"
"6","Kelly Clarkson","""Without You""  (Badfinger)","Judge.s.choice...original.artist.","Safe"
