"order","contestant","song","result"
"1","Kelly Clarkson","""Walk On By""  (Dionne Warwick)","Safe"
"2","R. J. Helton","""Arthur's Theme (Best That You Can Do)""  (Christopher Cross)","Eliminated"
"3","Tamyra Gray","""A House is Not a Home""  (Dionne Warwick)","Safe"
"4","Justin Guarini","""The Look of Love""  (Dusty Springfield)","Safe"
"5","Nikki McKibbin","""(There's) Always Something There to Remind Me""  (Lou Johnson)","Bottom Two"
