"order","contestant","song","result"
"1","Kelli Glover","""How Am I Supposed to Live Without You""  (Laura Branigan)","Eliminated"
"2","Christopher Aaron","""On Bended Knee""  (Boyz II Men)","Eliminated"
"3","Alexis Lopez","""Saving All My Love for You""  (Whitney Houston)","Eliminated"
"4","R. J. Helton","""Lately""  (Stevie Wonder)","Advanced"
"5","Angela Peel","""As We Lay""  (Kelly Price)","Eliminated"
