"order","contestant","song","result"
"1","Tamyra Gray","""And I Am Telling You I'm Not Going"" (Jennifer Holliday)","Advanced (1st)"
"2","Jim Verraros","""When I Fall in Love""  (Doris Day)","Advanced (3rd)"
"3","Adriel Herrera","""I'll Be""  (Edwin McCain)","Eliminated"
"4","Rodesia Eaves","""Daydream Believer""  (The Monkees)","Eliminated"
"5","Natalie Burge","""Crazy""  (Patsy Cline)","Eliminated"
"6","Brad Estrin","""Just Once""  (James Ingram)","Eliminated"
"7","Ryan Starr","""The Frim-Fram Sauce""  (The King Cole Trio)","Advanced (2nd)"
"8","Justinn Waddell","""When a Man Loves a Woman""  (Percy Sledge)","Eliminated"
"9","Kelli Glover","""I Will Always Love You""  (Dolly Parton)","Wild Card"
"10","Christopher Aaron","""Still in Love""  (Brian McKnight)","Wild Card"
