"order","contestant","song","result"
"1","Alexis Lopez","""I Will Survive""  (Gloria Gaynor)","Wild Card"
"2","Gil Sinuet","""Ribbon in the Sky""  (Stevie Wonder)","Eliminated"
"3","Angela Peel","""Run to You""  (Whitney Houston)","Wild Card"
"4","AJ Gil","""All or Nothing""  (O-Town)","Advanced (3rd)"
"5","Tenia Taylor","""Greatest Love of All""  (Whitney Houston)","Eliminated"
"6","Alexandra Bachelier","""Save the Best for Last""  (Vanessa Williams)","Eliminated"
"7","Jazmin Lowery","""You Put a Move on My Heart""  (Tamia)","Eliminated"
"8","Jamar","""Careless Whisper""  (George Michael)","Eliminated"
"9","Kelly Clarkson","""Respect""  (Aretha Franklin)","Advanced (2nd)"
"10","Justin Guarini","""Ribbon in the Sky""  (Stevie Wonder)","Advanced (1st)"
