"order","contestant","song","result"
"1","Aaron Kelly","""Fly Me to the Moon""","Eliminated"
"2","Casey James","""Blue Skies""","Safe"
"3","Crystal Bowersox","""Summer Wind""","Safe"
"4","Michael Lynche","""The Way You Look Tonight""","Bottom two"
"5","Lee DeWyze","""That's Life""","Safe"
