"order","contestant","song","song_theme","result"
"1","Casey James","""OK, It's Alright with Me""","Contestant.s.choice","Third place"
"2","Crystal Bowersox","""Come to My Window""","Contestant.s.choice","Safe"
"3","Lee DeWyze","""Simple Man""","Contestant.s.choice","Safe"
"4","Casey James","""Daughters""","Judges.s.choice","Third place"
"5","Crystal Bowersox","""Maybe I'm Amazed""","Judges.s.choice","Safe"
"6","Lee DeWyze","""Hallelujah""","Judges.s.choice","Safe"
