"order","contestant","song","song_theme","result"
"1","Wade Cota","""You Are the Best Thing""","Song","Eliminated"
"10","Laine Hardy","""Something About The Way You Look Tonight""","Elton.John.Song","Safe"
"11","Wade Cota","""Hard Luck Woman""","Hero.Dedication.Song","Eliminated"
"12","Laci Kaye Booth","""Dreams""","Hero.Dedication.Song","Eliminated"
"13","Madison VanDenburg","""Make You Feel My Love""","Hero.Dedication.Song","Safe"
"14","Laine Hardy","""Hey Jude""","Hero.Dedication.Song","Safe"
"15","Alejandro Aranda","""Blesser"" (original song)","Hero.Dedication.Song","Safe"
"2","Laci Kaye Booth","""The House That Built Me""","Song","Eliminated"
"3","Alejandro Aranda","""No Woman No Cry""","Song","Safe"
"4","Laine Hardy","""Can't You See""","Song","Safe"
"5","Madison VanDenburg","""What About Us""","Song","Safe"
"6","Wade Cota","""Rocket Man""","Elton.John.Song","Eliminated"
"7","Laci Kaye Booth","""Saturday Night's Alright for Fighting""","Elton.John.Song","Eliminated"
"8","Alejandro Aranda","""Sorry Seems to Be the Hardest Word""","Elton.John.Song","Safe"
"9","Madison VanDenburg","""Your Song""","Elton.John.Song","Safe"
