"date_of_airing","order","contestant","song","duet_partner","result"
"Sunday, April 7","1","Walker Burroughs","""Have It All""","Jason Mraz","Advanced"
"Sunday, April 7","2","Kate Barnette","""Heartbreaker""","Pat Benatar & Neil Giraldo","Eliminated"
"Sunday, April 7","3","Riley Thompson","""Like I Loved You""","Brett Young","Advanced"
"Sunday, April 7","4","Uché","""I Need Your Love""","Shaggy","Advanced"
"Sunday, April 7","5","Madison VanDenburg","""We Belong""","Pat Benatar & Neil Giraldo","Advanced"
"Sunday, April 7","6","Shawn Robinson","""Proud Mary""","Elle King","Eliminated"
"Sunday, April 7","7","Ashley Hess","""I'm Yours""","Jason Mraz","Advanced"
"Sunday, April 7","8","Bumbly","""Angel""","Shaggy","Eliminated"
"Sunday, April 7","9","Laci Kaye Booth","""Mercy""","Brett Young","Advanced"
"Sunday, April 7","10","Laine Hardy","""The Weight""","Elle King","Advanced"
"",NA,"","","",""
"Monday, April 8","1","Alyssa Raghu","""Issues""","Julia Michaels","Advanced"
"Monday, April 8","2","Eddie Island","""7 Years""","Lukas Graham","Advanced"
"Monday, April 8","3","Wade Cota","""Broken""","lovelytheband","Advanced"
"Monday, April 8","4","Ryan Hammond","""Hold On, I'm Comin'""","Cynthia Erivo","Eliminated"
"Monday, April 8","5","Evelyn Cormier","""Wicked Game""","Chris Isaak","Advanced"
"Monday, April 8","6","Logan Johnson","""What a Time""","Julia Michaels","Eliminated"
"Monday, April 8","7","Raquel Trinidad","""Tiny Dancer""","lovelytheband","Eliminated"
"Monday, April 8","8","Alejandro Aranda","""There Will Be a Light""","Ben Harper","Advanced"
"Monday, April 8","9","Dimitrius Graham","""Love Someone""","Lukas Graham","Advanced"
"Monday, April 8","10","Jeremiah Lloyd Harmon","""Time After Time""","Cynthia Erivo","Advanced"
