"order","contestant","song","song_theme","result"
"1","Laine Hardy","""Home""","Song","Winner"
"2","Madison VanDenburg","""Shallow""","Song","3rd Place"
"3","Alejandro Aranda","""Millennial Love"" (original song)","Song","Runner-up"
"4","Laine Hardy","""Jambalaya (On the Bayou)""","Song.1","Winner"
"5","Madison VanDenburg","""Breakaway""","Song.1","3rd Place"
"6","Alejandro Aranda","""Tonight"" (original song)","Song.1","Runner-up"
"7","Laine Hardy","""Bring It On Home to Me""","Song.2","Winner"
"8","Alejandro Aranda","""Out Loud"" (original song)","Song.2","Runner-up"
"N/A (already eliminated)","Madison VanDenburg","N/A (already eliminated)","Song.2","3rd Place"
