"order","contestant","song","song_theme","result"
"1","Madison VanDenburg","""Piece Of My Heart""","Song","Safe"
"10","Jeremiah Lloyd Harmon","""Somewhere""","Song.1","Eliminated"
"11","Wade Cota","""Through The Valley""","Song.1","Safe"
"12","Laine Hardy","""Johnny B. Goode""","Song.1","Safe"
"2","Laine Hardy","""I Don't Need No Doctor""","Song","Safe"
"3","Jeremiah Lloyd Harmon","""Swing Low, Sweet Chariot""","Song","Eliminated"
"4","Laci Kaye Booth","""To Love Somebody""","Song","Judges' save"
"5","Alejandro Aranda","""White Rabbit""","Song","Safe"
"6","Wade Cota","""With A Little Help From My Friends""","Song","Safe"
"7","Madison VanDenburg","""I Surrender""","Song.1","Safe"
"8","Alejandro Aranda","""Poison"" (original song)","Song.1","Safe"
"9","Laci Kaye Booth","""Open Arms""","Song.1","Judges' save"
