"order","contestant","song","result"
"1","Jenny Beth Willis","""Heaven, Heartache and the Power of Love""","Eliminated"
"2","Tenna Torres","""Soulmate""","Advanced"
"3","Adriana Latonio","""Ain't No Way""","Advanced"
"4","Brandy Hotard","""Anymore""","Eliminated"
"5","Shubha Vedula","""Born This Way""","Eliminated"
"6","Kamaria Ousley","""Mr. Know It All""","Eliminated"
"7","Kree Harrison","""Up to the Mountain (MLK Song)""","Advanced"
"8","Angie Miller","""Nobody's Perfect""","Advanced"
"9","Isabelle Pasqualone","""God Bless the Child""","Eliminated"
"10","Amber Holcomb","""My Funny Valentine""","Advanced"
