"order","contestant","song","song_theme","result"
"1","Angie Miller","""Anyone Who Had a Heart""","Burt.Bacharach.and.Hal.David.Song","Safe"
"10","Kree Harrison","""Help Me Make It Through the Night""","Wish.song","Top two"
"11","Janelle Arthur","""The Dance""","Wish.song","Safe"
"12","Candice Glover","""Lovesong""","Wish.song","Top two"
"2","Amber Holcomb","""I Say a Little Prayer""","Burt.Bacharach.and.Hal.David.Song","Safe"
"3","Lazaro Arbos","""(They Long to Be) Close to You""","Burt.Bacharach.and.Hal.David.Song","Eliminated"
"4","Kree Harrison","""What the World Needs Now Is Love""","Burt.Bacharach.and.Hal.David.Song","Top two"
"5","Janelle Arthur","""I'll Never Fall in Love Again""","Burt.Bacharach.and.Hal.David.Song","Safe"
"6","Candice Glover","""Don't Make Me Over""","Burt.Bacharach.and.Hal.David.Song","Top two"
"7","Angie Miller","""Love Came Down""","Wish.song","Safe"
"8","Amber Holcomb","""Love on Top""","Wish.song","Safe"
"9","Lazaro Arbos","""Angels""","Wish.song","Eliminated"
