"order","contestant","song","song_theme","result"
"1","Burnell Taylor","""You Give Love a Bad Name""","Rock.song","Eliminated"
"10","Angie Miller","""Bring Me to Life""","Rock.song","Top three"
"2","Lazaro Arbos","""Crazy Little Thing Called Love""","Duet.song","Top three"
"2","Angie Miller","""Crazy Little Thing Called Love""","Duet.song","Top three"
"3","Kree Harrison","""Piece of My Heart""","Rock.song","Top three"
"4","Burnell Taylor","""The Letter""","Duet.song","Eliminated"
"4","Candice Glover","""The Letter""","Duet.song","Safe"
"5","Janelle Arthur","""You May Be Right""","Rock.song","Bottom two"
"6","Lazaro Arbos","""We Are the Champions""","Rock.song","Top three"
"7","Kree Harrison","""It's Still Rock and Roll to Me""","Duet.song","Top three"
"7","Janelle Arthur","""It's Still Rock and Roll to Me""","Duet.song","Bottom two"
"7","Amber Holcomb","""It's Still Rock and Roll to Me""","Duet.song","Safe"
"8","Candice Glover","""(I Can't Get No) Satisfaction""","Rock.song","Safe"
"9","Amber Holcomb","""What About Love""","Rock.song","Safe"
