"order","contestant","song","song_theme","result"
"1","Angie Miller","""Diamonds""","X2013.Hit.song","Safe"
"2","Amber Holcomb","""Just Give Me a Reason""","X2013.Hit.song","Eliminated"
"3","Candice Glover","""When I Was Your Man""","X2013.Hit.song","Safe"
"4","Kree Harrison","""See You Again""","X2013.Hit.song","Safe"
"5","Angie Miller","""Someone to Watch Over Me""","Songbook.song","Safe"
"6","Amber Holcomb","""My Funny Valentine""","Songbook.song","Eliminated"
"7","Candice Glover","""You've Changed""","Songbook.song","Safe"
"8","Kree Harrison","""Stormy Weather""","Songbook.song","Safe"
