"order","contestant","song","song_theme","result"
"1","Kree Harrison","""Angel""","Creator.s.Choice","Runner-up"
"2","Candice Glover","""Chasing Pavements""","Creator.s.Choice","Winner"
"3","Kree Harrison","""All Cried Out""","Winner.s.Single","Runner-up"
"4","Candice Glover","""I Am Beautiful""","Winner.s.Single","Winner"
"5","Kree Harrison","""Up to the Mountain (MLK Song)""","Favorite.Performance","Runner-up"
"6","Candice Glover","""I (Who Have Nothing)""","Favorite.Performance","Winner"
